ParentCommit	ChildCommit	Comment
5956b05ac632a180e61c865239c34cc0f1fbd90e	0955cd37a4dc78a9ebc38570affd373bbc600865	updated third party libraries to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	16e0f70bf556ce2a77f38a405d23df3c8e153151	updated restsharp third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	eed17157e879bf5415b08af8b9823ac4d647bacb	updated fluentvalidation library to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	27c4d40a103b3d881a7d771a232e6abd2dbcb1f2	updated newtonsoft json third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	568cac6bf621aee71c0a65c54f58a3769f5c32b5	updated maxmind third party library to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	f22af095884f8a23333535ac86d2757f2a754e15	updated fluentvalidation library to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	c9ae75cae6a14d1a345d733b95050cec11450192	updated  fluentvalidation library to the latest version  5 1 0 0  
5956b05ac632a180e61c865239c34cc0f1fbd90e	78b937fe38960eac82eb15bef5b1594ed11640c1	updated fluentvalidation library to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	9d51d2196f25222a8da5cb406cc5b540f0976cdb	updated third party assemblies to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	14f7a1f505c357ed0643d6acc161300c74022669	updated third party assemblies to the latest version 
d97ad8f3ce1f3c8a5050db76ad2ad2d93c9e42d9	d97ad8f3ce1f3c8a5050db76ad2ad2d93c9e42d9	further changes on the print order details page  
d97ad8f3ce1f3c8a5050db76ad2ad2d93c9e42d9	a0156f72658ab9e48cc31b5f98127adc8c7a08ca	further order details page changes 
d97ad8f3ce1f3c8a5050db76ad2ad2d93c9e42d9	4df93da9402f2f07643c602d9c33b4fce5ce9689	further order details page changes 
88e4f151d0ee98a344662f0f3fadeb7c8a91c48d	88e4f151d0ee98a344662f0f3fadeb7c8a91c48d	removed some unused  using  directive 
88e4f151d0ee98a344662f0f3fadeb7c8a91c48d	9319926da7e1749ad41f16ea082a0cf4ab0b3a34	removed unused  using  directive 
3505323e6b492eff798c7eee439c758af8af6a7d	3505323e6b492eff798c7eee439c758af8af6a7d	minor typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	b9801ba6a252a65a5e5f08c1db5d70f7fcf71089	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	cbcb895f89977b6019d72ae0abcd957aaed2c1ae	typo fixed  
3505323e6b492eff798c7eee439c758af8af6a7d	e466cd3c0b8212e026e57460a3325c7b82087ed8	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	606f2a1953991767a314cbf6f5137eff065fe233	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	1ca819dd1db3d6f3d54bd8f808fc4478665f06b7	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	2220ae9f40b7ff0e893de971797bae7c6068410d	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	519e493eb02905161ffe67f7c840e86b24803e3c	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	a14f018588a0dc192a0482914fbd24d67a38f4c0	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	c5c1085ed24cba894f5dde0fbebe7e0f234773eb	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	323d633e2f19dfda4bf461e2974ae31d14ca85a7	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	788cfc24e672ae6929a6c80f8798f2b6f19d04c0	typo fixed 
3505323e6b492eff798c7eee439c758af8af6a7d	20378226da1e708334931e035e45b33afcf70644	typo fixed 
