FileName                                          	  |  Support| Confidence
ProductSpecificationAttributeMap.cs               |  1      | 0.58      
ProductSpecificationAttributeModel.cs             |  1      | 0.58      
ProductSpecificationAttributePersistenceTests.cs  |  1      | 0.58      
ProductSpecificationModel.cs                      |  1      | 0.58      
ProductTags.cshtml                                |  1      | 0.58      
ProductTemplate.Grouped.cshtml                    |  4      | 2.34      
ProductTemplate.Simple.cshtml                     |  4      | 2.34      
ProductTemplates.cshtml                           |  1      | 0.58      
ProductTemplateService.cs                         |  1      | 0.58      
ProductVariantAttribute.cs                        |  1      | 0.58      
ProductVariantAttributeCombination.cs             |  1      | 0.58      
ProductVariantAttributeCombinationPersistenceTests.cs|  1      | 0.58      
ProductVariantAttributePersistenceTests.cs        |  1      | 0.58      
ProductWarehouseInventory.cs                      |  3      | 1.75      
ProductWarehouseInventoryMap.cs                   |  1      | 0.58      
ProductWarehouseInventoryPersistenceTests.cs      |  2      | 1.17      
Providers.cshtml                                  |  2      | 1.17      
public.ajaxcart.js                                |  1      | 0.58      
public.js                                         |  1      | 0.58      
public.onepagecheckout.js                         |  1      | 0.58      
PublicAntiForgeryAttribute.cs                     |  1      | 0.58      
PublicAreaRegistration.cs                         |  1      | 0.58      
QueuedEmail.cs                                    |  3      | 1.75      
QueuedEmailController.cs                          |  3      | 1.75      
QueuedEmailMap.cs                                 |  2      | 1.17      
QueuedEmailModel.cs                               |  3      | 1.75      
QueuedEmailPersistenceTests.cs                    |  3      | 1.75      
QueuedEmailPriority.cs                            |  1      | 0.58      
QueuedEmailService.cs                             |  1      | 0.58      
QueuedEmailValidator.cs                           |  1      | 0.58      
QueuedMessagesSendTask.cs                         |  2      | 1.17      
Register.cshtml                                   |  3      | 1.75      
RegisterModel.cs                                  |  3      | 1.75      
RegisterValidator.cs                              |  2      | 1.17      
RegisterValidatorTests.cs                         |  1      | 0.58      
RelatedProductAddPopup.cshtml                     |  1      | 0.58      
RentalPricePeriod.cs                              |  1      | 0.58      
ReportRegisteredCustomers.cshtml                  |  1      | 0.58      
RequiredProductAddPopup.cshtml                    |  2      | 1.17      
Resources.cshtml                                  |  2      | 1.17      
Restrictions.cshtml                               |  1      | 0.58      
RewardPoints.cshtml                               |  2      | 1.17      
RewardPointsSettings.cs                           |  1      | 0.58      
RewardPointsSettingsModel.cs                      |  1      | 0.58      
RichEditor.cshtml                                 |  1      | 0.58      
